"image.files","Perimeter","Area","Width.Mid.height","Maximum.Width","Height.Mid.width","Maximum.Height","Curved.Height","X"
"XC127_2.tif - 2","42,5499","94,7622","10,0838","11,5062","9,4234","12,319","14,3962",NA
"XC128_1.tif - 1","53,3177","131,2789","11,8491","12,4968","11,5062","15,6337","18,5915",NA
"XC128_1.tif - 2","59,5805","152,986","14,4018","14,8209","11,0236","15,7734","18,96",NA
"XC128_2.tif - 1","47,4563","107,0845","11,0871","12,1158","9,0424","13,4366","16,748",NA
"XC128_2.tif - 2","49,6015","117,4872","11,938","12,5857","8,9281","13,462","16,1395",NA
"XC129.tif - 1","40,9755","74,8276","8,128","9,2329","10,287","13,4239","14,8273",NA
"XC129.tif - 2","39,8415","69,562","7,8867","9,3726","8,7503","12,8397","14,839",NA
"XC129.tif - 3","40,7592","72,5628","7,4422","9,2329","9,8425","13,2207","14,7903",NA
"XC132.tif - 1","34,3368","61,4928","8,0518","9,4488","8,5852","10,0711","11,4225",NA
"XC132.tif - 2","34,9949","62,9502","7,9375","9,3218","8,1788","10,4648","12,3321",NA
"XC132.tif - 3","42,0495","81,9418","9,3853","10,1727","8,9281","12,0904","14,3193",NA
"XC132.tif - 4","34,9985","64,7545","7,8994","9,2964","9,0297","10,8331","12,4976",NA
"XC135.tif - 1","40,0935","83,1329","9,8933","10,5029","8,8392","12,2174","12,231",NA
"XC135.tif - 2","33,1429","54,4544","7,747","8,2042","7,5184","9,7409","11,6772",NA
"XC135.tif - 3","35,5562","66,35","8,3185","8,8392","8,3566","11,049","12,3534",NA
"XC135.tif - 4","38,6726","74,7099","8,6233","9,8044","8,7503","12,065","12,3541",NA
"XC136_1.tif - 1","45,4651","108,017","11,3284","11,811","10,5156","14,1605","13,7819",NA
"XC136_1.tif - 2","39,5231","74,3626","9,8679","10,2235","7,9502","11,0363","13,6095",NA
"XC136_2.tif - 1","42,7888","92,9492","9,9568","10,9601","9,5885","12,827","15,1758",NA
"XC136_2.tif - 2","46,4933","109,1711","11,7094","12,4968","9,9822","13,8557","16,3106",NA
"XC200_1.tif - 1","37,0967","69,9858","7,9248","9,6901","10,3886","12,1539","13,2109",NA
"XC200_1.tif - 2","43,2403","101,7062","9,7663","11,0871","10,9347","13,5509","15,2819",NA
"XC200_2.tif - 1","40,1278","89,9598","10,0711","10,7569","9,8552","12,6111","13,8268",NA
"XC200_2.tif - 2","41,562","90,6916","9,652","10,2362","10,6426","12,9413","13,2416",NA
"XC202.tif - 1","34,5548","56,5826","8,1661","8,5344","7,3152","10,3632","10,8685",NA
"XC202.tif - 2","39,21","73,0528","9,0424","9,3218","8,89","11,7094","12,839",NA
"XC202.tif - 3","37,8671","68,602","8,4709","8,6995","8,6106","11,5697","12,4983",NA
"XC202.tif - 4","36,3988","64,7897","8,6233","9,0297","8,509","10,6807","11,1211",NA
"XC203.tif - 1","31,7918","49,8018","6,5151","7,7597","8,2423","10,3505","11,7349",NA
"XC203.tif - 2","31,9452","52,9294","7,493","8,3947","7,6454","9,6139","11,3756",NA
"XC203.tif - 3","31,7295","49,7747","7,1882","7,5946","8,636","9,6901","11,5116",NA
"XC203.tif - 4","31,3253","54,4783","7,9248","8,1407","8,4201","8,9789","10,5679",NA
"XC205.tif - 1","34,2117","56,3747","7,112","7,4295","9,5631","11,3665","13,1153",NA
"XC205.tif - 2","35,2414","59,8105","7,8867","8,9281","8,2423","10,1219","11,7335",NA
"XC205.tif - 3","32,0942","52,5978","7,0612","7,6835","8,5979","10,2235","11,6011",NA
"XC205.tif - 4","30,5848","43,8794","6,477","6,7564","7,2517","9,906","11,0605",NA
"XC206_1.tif - 1","46,0208","99,7306","10,033","10,8712","10,7315","13,8811","16,889",NA
"XC206_1.tif - 2","41,3927","84,3739","9,3345","9,8044","10,0838","12,8016","15,2796",NA
"XC206_2.tif - 1","45,2878","100,1138","10,5537","12,573","9,779","13,1318","14,7108",NA
"XC206_2.tif - 2","44,5674","97,9169","10,4013","11,5443","10,6426","13,2588","15,8468",NA
"XC213_1.tif - 1","39,1506","73,7166","9,0297","9,9441","9,3472","12,0777","14,1763",NA
"XC213_1.tif - 2","43,5703","87,1698","8,5725","10,668","10,5029","13,8303","15,8063",NA
"XC213_2.tif - 1","37,4834","65,7071","7,8613","9,525","8,9535","11,3665","13,2806",NA
"XC213_2.tif - 2","43,1379","79,9716","8,5725","9,0424","11,0109","13,9573","16,706",NA
"XC214_1.tif - 1","39,3854","69,1407","7,2771","9,0678","10,922","12,4206","13,4588",NA
"XC214_2.tif - 1","40,2214","67,3036","6,9723","7,7089","11,1379","14,1097","15,9345",NA
"XC214_3.tif - 1","32,8052","56,2694","6,6675","8,128","9,7663","10,8204","11,7907",NA
"XC214_4.tif - 1","40,2786","71,7808","6,9977","9,0297","10,6172","13,2715","14,6536",NA
"XC217_1.tif - 1","43,3496","89,9311","9,3599","10,4902","10,7823","13,5636","15,7974",NA
"XC217_2.tif - 1","45,7558","97,5725","10,2235","11,4554","10,4902","13,8176","16,1549",NA
"XC217_2.tif - 2","41,852","84,4645","9,7155","10,4521","9,5504","12,6111","14,4491",NA
"XC218_1.tif - 1","44,0798","100,2121","10,4775","11,5062","10,9728","12,9159","14,8167",NA
"XC218_1.tif - 2","38,4822","77,3613","9,2837","10,5664","8,5979","11,1379","13,1105",NA
"XC218_2.tif - 1","41,0138","88,5971","10,16","11,3157","9,5885","12,1031","13,9945",NA
"XC218_2.tif - 2","42,803","92,4759","10,3124","11,049","9,9822","12,446","14,1784",NA
"XC221.tif - 1","50,142","118,3377","11,2141","12,3444","11,5189","15,3289","18,1536",NA
"XC221.tif - 2","41,8535","84,246","9,0678","10,2489","10,2362","13,3731","15,2026",NA
"XC222.tif - 1","47,5598","91,7122","9,2837","11,9888","8,9662","12,446","15,1078",NA
"XC222.tif - 2","34,3303","50,0365","7,4549","7,9756","8,0645","9,9822","10,9935",NA
"XC223_1.tif - 1","51,9592","117,938","10,2489","12,1539","11,3919","15,5702","16,6286",NA
"XC223_1.tif - 2","37,8282","77","9,6393","10,3378","8,509","11,2395","11,6867",NA
"XC223_2.tif - 1","45,8861","105,2108","10,9982","11,6713","10,1981","13,335","15,0827",NA
"XC223_2.tif - 2","41,0458","84,3435","10,0203","10,3632","8,7884","12,2047","13,1304",NA
"XC224.tif - 1","40,7693","81,1515","8,6106","10,0457","11,4554","12,6492","14,9112",NA
"XC224.tif - 2","44,0919","98,0317","9,5377","10,8966","11,2395","13,6779","15,999",NA
"XC224.tif - 3","41,7907","81,4719","9,8552","10,4521","10,3759","12,446","14,7682",NA
