T_630	Madres	-9	-9	-9	-9	-9	-9	-9	-9	-9	196	-9	175	230	-9	-9	-9
T_631	Madres	126	141	244	218	262	356	93	101	97	192	142	161	218	239	119	302
T_631	Madres	132	146	246	220	266	358	101	-9	101	-9	-9	163	222	243	122	306
T_631	Madres	146	155	250	-9	272	-9	103	-9	103	-9	-9	175	226	247	133	-9
T_631	Madres	-9	-9	256	-9	-9	-9	-9	-9	-9	-9	-9	-9	232	-9	-9	-9
T_632	Madres	126	141	244	218	255	356	109	101	97	183	142	163	210	239	119	302
T_632	Madres	132	148	246	-9	262	-9	111	116	107	186	-9	175	218	243	122	306
T_632	Madres	135	157	248	-9	268	-9	113	-9	-9	196	-9	-9	224	251	150	308
T_632	Madres	166	-9	250	-9	272	-9	-9	-9	-9	-9	-9	-9	226	-9	-9	318
T_633	Madres	128	141	244	218	262	356	93	101	97	181	142	159	224	239	113	304
T_633	Madres	132	146	246	220	266	358	99	108	99	183	-9	161	226	249	119	306
T_633	Madres	-9	155	248	-9	268	-9	101	116	109	198	-9	165	-9	251	122	312
T_633	Madres	-9	-9	-9	-9	272	-9	-9	-9	-9	-9	-9	-9	-9	-9	125	-9
T_634	Madres	126	141	244	218	255	356	93	101	99	181	142	159	224	239	122	302
T_634	Madres	132	151	246	-9	266	358	99	105	101	183	-9	163	226	245	125	306
T_634	Madres	166	155	248	-9	268	-9	111	-9	-9	184	-9	-9	230	265	133	316
T_634	Madres	-9	-9	-9	-9	272	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
T_635	Madres	126	141	244	218	262	356	93	101	97	181	142	159	224	239	113	306
T_635	Madres	132	144	248	220	268	358	113	116	107	183	-9	163	226	243	119	308
T_635	Madres	134	155	256	-9	272	-9	-9	-9	109	192	-9	-9	238	247	122	-9
T_635	Madres	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	249	-9	-9
T_636	Madres	126	141	246	218	264	356	93	99	97	175	142	161	218	239	113	302
T_636	Madres	132	151	248	220	266	-9	99	101	99	186	-9	163	224	255	122	304
T_636	Madres	146	155	250	-9	280	-9	105	-9	101	192	-9	167	230	265	133	306
T_636	Madres	-9	-9	-9	-9	-9	-9	-9	-9	103	-9	-9	175	232	-9	-9	318
